Id,chuva -3,chuva -2,chuva -1,chuvaA,chuva +1,chuva +2,temp-3,temp-2,temp-1,tempA,temp+1,temp+2,bilro,Producao
78,258.2,196.6,9.5,70.6,91.1,66,26.51,26.73,26.7,26.85,25.22,24.03,1.80,5887.77
79,267.2,80.1,70.6,91.1,66,35.8,26.73,26.7,26.85,25.22,24.03,23.31,1.08,3524.75
80,171.2,161.7,91.1,66,35.8,180.5,26.7,26.85,25.22,24.03,23.31,22.11,4.53,14829.56
81,227.7,157.1,66,35.8,180.5,131.2,26.85,25.22,24.03,23.31,22.11,22.18,8.29,27102.18
82,192.9,101.8,35.8,180.5,131.2,51.9,25.22,24.03,23.31,22.11,22.18,22.5,2.10,6857.45
83,282.3,216.3,180.5,131.2,51.9,216.5,24.03,23.31,22.11,22.18,22.5,24.32,3.23,10566.72
84,347.5,311.7,131.2,51.9,216.5,168.4,23.31,22.11,22.18,22.5,24.32,24.82,5.03,16430.01
85,363.6,183.1,51.9,216.5,168.4,61.6,22.11,22.18,22.5,24.32,24.82,25.81,1.43,5063.04
86,399.6,268.4,216.5,168.4,61.6,67.3,22.18,22.5,24.32,24.82,25.81,26.04,1.24,4402.82
87,436.8,384.9,168.4,61.6,67.3,166.3,22.5,24.32,24.82,25.81,26.04,25.24,1.02,3630.18
88,446.5,230,61.6,67.3,166.3,92.6,24.32,24.82,25.81,26.04,25.24,25.5,1.54,5486.15
